date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:25:30	6998/6998	---M-Z	200	added ('OK')	text/html	date:Thu,%2021%20Mar%202024%2021:25:08%20GMT	http://citavirtual.mppeu.gob.ve/index.php/autenticacion/validarCertificacion/c/MDAwODQxMjAyMjAxMjAyNjQ4MjgzMQ==	C:/My%20Web%20Sites/222/citavirtual.mppeu.gob.ve/index.php/autenticacion/validarCertificacion/c/MDAwODQxMjAyMjAxMjAyNjQ4MjgzMQ==.html	(from )
18:25:30	26/26	---M--	200	added ('OK')	text/plain	etag:%221a-53aabd8c28a80%22	http://citavirtual.mppeu.gob.ve/robots.txt		(from )
18:25:31	4019/4019	---M-Z	200	added ('OK')	text/css	etag:%22fb3-5737236c68880-gzip%22	http://citavirtual.mppeu.gob.ve/css/main.css	C:/My%20Web%20Sites/222/citavirtual.mppeu.gob.ve/css/main.css	(from http://citavirtual.mppeu.gob.ve/index.php/autenticacion/validarCertificacion/c/MDAwODQxMjAyMjAxMjAyNjQ4MjgzMQ==)
18:25:31	19586/19586	---M-Z	200	added ('OK')	text/css	etag:%224c82-53aabd8c28a80-gzip%22	http://citavirtual.mppeu.gob.ve/css/select2.css	C:/My%20Web%20Sites/222/citavirtual.mppeu.gob.ve/css/select2.css	(from http://citavirtual.mppeu.gob.ve/index.php/autenticacion/validarCertificacion/c/MDAwODQxMjAyMjAxMjAyNjQ4MjgzMQ==)
18:25:31	1544/1544	---M-Z	200	added ('OK')	text/css	etag:%22608-53aabd8c28a80-gzip%22	http://citavirtual.mppeu.gob.ve/css/eventCalendar.css	C:/My%20Web%20Sites/222/citavirtual.mppeu.gob.ve/css/eventCalendar.css	(from http://citavirtual.mppeu.gob.ve/index.php/autenticacion/validarCertificacion/c/MDAwODQxMjAyMjAxMjAyNjQ4MjgzMQ==)
18:25:31	8358/8358	---M-Z	200	added ('OK')	text/css	etag:%2220a6-573723c425780-gzip%22	http://citavirtual.mppeu.gob.ve/css/eventCalendar_theme_responsive.css	C:/My%20Web%20Sites/222/citavirtual.mppeu.gob.ve/css/eventCalendar_theme_responsive.css	(from http://citavirtual.mppeu.gob.ve/index.php/autenticacion/validarCertificacion/c/MDAwODQxMjAyMjAxMjAyNjQ4MjgzMQ==)
18:25:32	4836/4836	---M-Z	200	added ('OK')	text/css	etag:%2212e4-53aabd8c28a80-gzip%22	http://citavirtual.mppeu.gob.ve/css/daterangepicker/daterangepicker-bs3.css	C:/My%20Web%20Sites/222/citavirtual.mppeu.gob.ve/css/daterangepicker/daterangepicker-bs3.css	(from http://citavirtual.mppeu.gob.ve/index.php/autenticacion/validarCertificacion/c/MDAwODQxMjAyMjAxMjAyNjQ4MjgzMQ==)
18:25:32	227/227	---M-Z	200	added ('OK')	text/css	etag:%22e3-54b87f125ae80-gzip%22	http://citavirtual.mppeu.gob.ve/css/estilos.css	C:/My%20Web%20Sites/222/citavirtual.mppeu.gob.ve/css/estilos.css	(from http://citavirtual.mppeu.gob.ve/index.php/autenticacion/validarCertificacion/c/MDAwODQxMjAyMjAxMjAyNjQ4MjgzMQ==)
18:25:32	4752/4752	---M-Z	200	added ('OK')	text/css	etag:%221290-53aabd8c28a80-gzip%22	http://citavirtual.mppeu.gob.ve/css/datatables/dataTables.bootstrap.css	C:/My%20Web%20Sites/222/citavirtual.mppeu.gob.ve/css/datatables/dataTables.bootstrap.css	(from http://citavirtual.mppeu.gob.ve/index.php/autenticacion/validarCertificacion/c/MDAwODQxMjAyMjAxMjAyNjQ4MjgzMQ==)
18:25:32	27416/27416	---M-Z	200	added ('OK')	text/css	etag:%226b18-53aabd8c28a80-gzip%22	http://citavirtual.mppeu.gob.ve/css/iconos/bootstrap.icon-large.css	C:/My%20Web%20Sites/222/citavirtual.mppeu.gob.ve/css/iconos/bootstrap.icon-large.css	(from http://citavirtual.mppeu.gob.ve/index.php/autenticacion/validarCertificacion/c/MDAwODQxMjAyMjAxMjAyNjQ4MjgzMQ==)
18:25:33	114011/114011	---M-Z	200	added ('OK')	text/css	etag:%221bd5b-50694536afc00-gzip%22	http://citavirtual.mppeu.gob.ve/bootstrap-3.3.0/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/222/citavirtual.mppeu.gob.ve/bootstrap-3.3.0/dist/css/bootstrap.min.css	(from http://citavirtual.mppeu.gob.ve/index.php/autenticacion/validarCertificacion/c/MDAwODQxMjAyMjAxMjAyNjQ4MjgzMQ==)
18:25:33	823/823	---M-Z	200	added ('OK')	text/css	etag:%22337-56e6b1071c200-gzip%22	http://citavirtual.mppeu.gob.ve/css/style-modal.css	C:/My%20Web%20Sites/222/citavirtual.mppeu.gob.ve/css/style-modal.css	(from http://citavirtual.mppeu.gob.ve/index.php/autenticacion/validarCertificacion/c/MDAwODQxMjAyMjAxMjAyNjQ4MjgzMQ==)
18:25:34	4079/4079	---M-Z	200	added ('OK')	application/javascript	etag:%22fef-53aabd8c28a80-gzip%22	http://citavirtual.mppeu.gob.ve/js/valFormulario.js	C:/My%20Web%20Sites/222/citavirtual.mppeu.gob.ve/js/valFormulario.js	(from http://citavirtual.mppeu.gob.ve/index.php/autenticacion/validarCertificacion/c/MDAwODQxMjAyMjAxMjAyNjQ4MjgzMQ==)
18:25:35	7437/7437	---M-Z	200	added ('OK')	application/javascript	etag:%221d0d-53aabd8c28a80-gzip%22	http://citavirtual.mppeu.gob.ve/js/jquery.maskedinput.js	C:/My%20Web%20Sites/222/citavirtual.mppeu.gob.ve/js/jquery.maskedinput.js	(from http://citavirtual.mppeu.gob.ve/index.php/autenticacion/validarCertificacion/c/MDAwODQxMjAyMjAxMjAyNjQ4MjgzMQ==)
18:25:35	84346/84346	---M-Z	200	added ('OK')	application/javascript	etag:%221497a-53aab19400d40-gzip%22	http://apis.mppeu.gob.ve/js/jquery/v2/jquery-2.1.4.min.js	C:/My%20Web%20Sites/222/apis.mppeu.gob.ve/js/jquery/v2/jquery-2.1.4.min.js	(from http://citavirtual.mppeu.gob.ve/index.php/autenticacion/validarCertificacion/c/MDAwODQxMjAyMjAxMjAyNjQ4MjgzMQ==)
